name,state,tier_name,mr_kq5_pq1,mr_ktop1_pq1
College Of Saint Scholastica,MN,Selective private,0.021893101,1.3759183e-5
College Of Southern Nevada,NV,Nonselective 4-year public,0.015094155,4.3524004e-4
College Of Staten Island/CUNY,NY,Selective public,0.041348025,9.8896294e-4
College Of The Holy Cross,MA,Other elite schools (private and public),0.010001441,0.0010236085
College Of The Ozarks,MO,Selective private,0.033171967,2.8671684e-5
College Of William & Mary,VA,Other elite schools (private and public),0.0052360371,2.1061544e-4
College Of Wooster,OH,Selective private,0.0070711519,0
CollegeAmerica Denver,CO,Nonselective 4-year private,0.021143179,0.0037611255
Colorado Christian University,CO,Selective private,0.0035530364,8.7891174e-5
Colorado College,CO,Highly selective private,0.018225832,0.002691631
Colorado Mesa University,CO,Selective public,0.020071208,6.7099772e-4
Colorado Mountain College,CO,Nonselective 4-year public,0.01090023,5.4918654e-4
Colorado School Of Mines,CO,Highly selective public,0.024911636,0.0025584963
Colorado State University,CO,Selective public,0.011196307,2.4979073e-4
Colorado State University-Pueblo,CO,Selective public,0.024855316,7.4505486e-5
Columbia Basin College,WA,Nonselective 4-year public,0.017361954,4.2554431e-5
"Columbia College of Chicago, IL",IL,Selective private,0.0095007485,4.212603e-5
"Columbia College of Columbia, MO",MO,Selective private,0.017756516,3.6647702e-6
"Columbia College of Columbia, SC",SC,Selective private,0.013072638,1.2099709e-4
Columbia International University,SC,Nonselective 4-year private,0.0014093219,0
Columbia University In The City Of New York,NY,Ivy Plus,0.030735934,0.0075032813
Columbus College Of Art & Design,OH,Nonselective 4-year private,0.015975298,2.2681619e-5
Columbus State University,GA,Selective public,0.017842893,6.4053047e-6
Concord University,WV,Selective public,0.01432975,0.0012933601
Concordia College - Moorhead,MN,Selective private,0.013580244,0.0020724298
Concordia University - Saint Paul,MN,Selective private,0.017048677,0
Concordia University - Wisconsin,WI,Selective private,0.0081852181,4.5061599e-5
Concordia University Texas,TX,Selective private,0.012233841,0.0033319744
"Concordia University of Irvine, CA",CA,Selective private,0.014180595,1.572793e-4
"Concordia University of Portland, OR",OR,Selective private,0.0087526208,0
"Concordia University of River Forest, IL",IL,Selective private,0.0076721529,0
"Concordia University of Seward, NE",NE,Selective private,0.0070259594,0
Connecticut College,CT,Other elite schools (private and public),0.015796896,0.0016020592
Converse College,SC,Selective private,0.006902115,0
Cooper Union For The Advancement Of Science & Art,NY,Other elite schools (private and public),0.04277638,0.0058032763
Corban University,OR,Selective private,0.0047163591,1.7156604e-5
Cornell College,IA,Selective private,0.0087094642,2.1724643e-4
Cornell University,NY,Ivy Plus,0.029070236,0.0050723562
Cornerstone University,MI,Selective private,0.0032964707,5.6850327e-5
Cornish College Of The Arts,WA,Nonselective 4-year private,0.0084198518,0
Covenant College,GA,Selective private,0.021523731,0.0015237265
Creighton University,NE,Selective private,0.016024692,9.7993668e-4
Crown College,MN,Nonselective 4-year private,0.010557843,0
Culinary Institute Of America,NY,Nonselective 4-year private,0.015095212,6.4667361e-4
Culver-Stockton College,MO,Selective private,0.015609925,3.2736166e-4
Cumberland University,TN,Selective private,0.020049477,1.1575261e-4
Curry College,MA,Selective private,0.019095086,7.292509e-5
D'Youville College,NY,Selective private,0.039663244,1.041305e-4
Daemen College,NY,Selective private,0.015489782,0.0024984838
Dallas Baptist University,TX,Selective private,0.0083096549,0
Dalton State College,GA,Nonselective 4-year public,0.012678913,0
Dartmouth College,NH,Ivy Plus,0.013762614,0.0036311145
Davenport University,MI,Selective private,0.012456022,3.9488517e-4
Davidson College,NC,Other elite schools (private and public),0.0041020564,0.0017017338
Davis & Elkins College,WV,Selective private,0.0055872784,8.5890468e-5
Daytona State College,FL,Nonselective 4-year public,0.016004307,1.6281573e-4
DePauw University,IN,Selective private,0.0090761594,0.0012086788
DeSales University,PA,Selective private,0.0068456563,8.6550543e-5
Dean College,MA,Nonselective 4-year private,0.008705345,0
Defiance College,OH,Selective private,0.011066434,0
Delaware Valley College Of Science & Agriculture,PA,Selective private,0.016287908,1.5572502e-6
Delta State University,MS,Selective public,0.0224602,9.6282538e-4
Denison University,OH,Highly selective private,0.0093918415,0.0013203255
Depaul University,IL,Selective private,0.028553518,0.0013981996
Dickinson College,PA,Highly selective private,0.012097311,0.0016719992
Dickinson State University,ND,Selective public,0.040979888,6.724696e-6
Dillard University,LA,Selective private,0.050284807,4.7699708e-4
Dixie State University,UT,Nonselective 4-year public,0.014699235,4.7229565e-4
Doane College,NE,Selective private,0.014534251,0.0024876697
Dominican College Of Blauvelt,NY,Selective private,0.036583826,0.0021140459
Dominican University,IL,Selective private,0.014196316,0
Dominican University Of California,CA,Selective private,0.031980876,0.0024441697
Dordt College,IA,Selective private,0.003423932,0
Dowling College,NY,Selective private,0.049541503,0.0012539458
Drake University,IA,Selective private,0.017473824,9.8863465e-4
Drew University,NJ,Selective private,0.02305807,9.9640666e-4
Drury University,MO,Selective private,0.012201751,1.1141643e-5
Duke University,NC,Ivy Plus,0.016026281,0.0042524287
Dunwoody College Of Technology,MN,Nonselective 4-year private,0.014309225,6.1663588e-5
Duquesne University Of The Holy Spirit,PA,Selective private,0.017168846,3.4915752e-4
Earlham College,IN,Selective private,0.0024436503,0
East Carolina University,NC,Selective public,0.011932503,4.5956534e-4
East Georgia State College,GA,Nonselective 4-year public,0.014026567,0
East Stroudsburg University Of Pennsylvania,PA,Selective public,0.017018918,4.4756023e-5
East Tennessee State University,TN,Selective public,0.014986984,2.2668547e-4
East Texas Baptist University,TX,Selective private,0.014889835,0.0024311498
Eastern Connecticut State University,CT,Selective public,0.008899264,1.3989315e-4
Eastern Florida State College,FL,Nonselective 4-year public,0.014721945,3.6484472e-4
Eastern Illinois University,IL,Selective public,0.009658183,0
Eastern Kentucky University,KY,Selective public,0.015209559,1.7009361e-4
Eastern Mennonite University,VA,Selective private,0.010012529,0
Eastern Michigan University,MI,Selective public,0.011686578,1.0224199e-5
Eastern Nazarene College,MA,Selective private,0.013295866,0
Eastern New Mexico University,NM,Selective public,0.021399237,3.4818798e-4
Eastern Oregon University,OR,Selective public,0.019505963,1.8882609e-5
Eastern University,PA,Selective private,0.007069828,0.0010984654
Eastern Washington University,WA,Selective public,0.019227237,2.3150316e-5
Eckerd College,FL,Selective private,0.011483468,4.5605109e-5
Edgewood College,WI,Selective private,0.01235362,2.279854e-5
Edinboro University Of Pennsylvania,PA,Selective public,0.010094229,3.0633016e-4
Edison State College,FL,Nonselective 4-year public,0.017097075,1.7366777e-4
Elizabeth City State University,NC,Selective public,0.038773548,5.5937761e-7
Elizabethtown College,PA,Selective private,0.0093476037,8.318849e-5
Elmhurst College,IL,Selective private,0.016476316,4.8868285e-5
Elmira College,NY,Selective private,0.013689324,9.9789693e-5
Elon University,NC,Highly selective private,0.0063649565,3.7003716e-5
Embry-Riddle Aeronautical University,FL,Selective private,0.034791574,9.6058659e-4
Emerson College,MA,Highly selective private,0.010786374,5.1928428e-4
"Emmanuel College of Boston, MA",MA,Selective private,0.018747658,2.72042e-5
