UNITID,INSTNM,CITY,STABBR,HIGHDEG,PREDDEG,CONTROL,HBCU,TUITFTE,AVGFACSAL,ADM_RATE,SATVR75,SATMT75,ACTCM75,COSTT4_A,NPT4_PRIV,UGDS,UG25ABV,PCTFLOAN_DCS,PCTPELL_DCS,DEBT_MDN,C100_4,RET_FT4,MD_EARN_WNE_5YR
211273,Bryn Mawr College,Bryn Mawr,PA,4,3,2,0,27233,11359,0.3075,750,745,33,75690,41833,1402,0.0049,0.5063,0.1399,21441,0.7838,0.9028,57709
211291,Bucknell University,Lewisburg,PA,4,3,2,0,37148,12166,0.3255,720,750,33,77740,42198,3732,0.0035,0.3218,0.1022,23250,0.8242,0.9058,90297
211608,Cheyney University of Pennsylvania,Cheyney,PA,3,3,1,1,0,10235,NA,NA,NA,NA,24886,NA,686,0.0841,0.62,0.6884,13000,0.0829,0.6829,47530
212009,Dickinson College,Carlisle,PA,3,3,2,0,23567,9608,0.3492,NA,NA,NA,77188,30345,2083,0.0046,0.4247,0.152,17294,0.804,0.8877,71404
212577,Franklin and Marshall College,Lancaster,PA,3,3,2,0,33923,10770,0.3623,710,730,33,80319,33802,1986,0.0042,0.4653,0.187,19000,0.8122,0.8782,68877
212674,Gettysburg College,Gettysburg,PA,3,3,2,0,23203,9670,0.5631,720,720,32,76330,28320,2236,0.0017,0.5248,0.199,23250,0.7802,0.8857,71373
212911,Haverford College,Haverford,PA,3,3,2,0,40227,10994,0.1421,760,780,35,81420,21464,1417,0.0028,0.1204,0.1423,12000,0.8309,0.9611,69576
213251,Juniata College,Huntingdon,PA,4,3,2,0,17238,8609,0.7616,680,660,30,65999,25378,1116,0.0064,0.6899,0.2448,23858,0.665,0.8066,53474
213385,Lafayette College,Easton,PA,3,3,2,0,32977,12189,0.3363,730,750,33,75934,36995,2725,0.0015,0.2453,0.0934,14000,0.8563,0.899,86844
213668,Lycoming College,Williamsport,PA,3,3,2,0,9370,8112,0.7522,628,610,25,59747,18549,1046,0.0147,0.7512,0.4218,23500,0.5481,0.721,53116
214175,Muhlenberg College,Allentown,PA,4,3,2,0,20269,6817,0.6551,700,700,33,71431,27729,1933,0.0328,0.5453,0.2057,22000,0.7892,0.9089,67290
215275,University of Pittsburgh-Greensburg,Greensburg,PA,3,3,1,0,13107,7602,0.976,650,625,27,28051,NA,1323,0.0583,0.6325,0.3683,20500,0.2918,0.633,69754
215798,Saint Vincent College,Latrobe,PA,4,3,2,0,15420,7956,0.7337,640,610,29,53487,22109,1335,0.0245,0.6791,0.2813,23250,0.7077,0.84,56756
216278,Susquehanna University,Selinsgrove,PA,4,3,2,0,15388,8630,0.7669,650,630,30,69479,27370,2139,0.0141,0.6978,0.2444,27000,0.7002,0.8541,59913
216287,Swarthmore College,Swarthmore,PA,3,3,2,0,29620,13487,0.0693,770,790,35,75793,21595,1619,0.0036,0.1029,0.1951,13000,0.8986,0.9604,73588
216524,Ursinus College,Collegeville,PA,3,3,2,0,18736,9048,0.8221,690,690,32,73603,31493,1505,0.0096,0.6949,0.1962,26000,0.6911,0.8245,61871
216667,Washington & Jefferson College,Washington,PA,3,3,2,0,13957,8299,0.8808,630,620,28,64529,25625,1139,0.0043,0.8438,0.322,26000,0.6876,0.8293,65052
216807,Westminster College,New Wilmington,PA,4,3,2,0,10595,7267,0.7528,NA,NA,NA,51406,21969,1023,0.0456,0.7108,0.3015,22825,0.573,0.8218,53025
217624,Allen University,Columbia,SC,4,3,2,1,8174,5859,0.4336,NA,NA,NA,25042,13862,603,0.0657,0.8526,0.8668,12000,0,0.5806,35418
217873,Claflin University,Orangeburg,SC,4,3,2,1,15271,7761,0.78,NA,NA,NA,33658,19951,1730,0.1518,0.7639,0.7431,22049,0.465,0.7869,40384
218070,Furman University,Greenville,SC,4,3,2,0,22955,10080,0.6702,730,725,32,69678,31357,2278,0.0043,0.2798,0.111,19500,0.7831,0.8775,62799
218539,Presbyterian College,Clinton,SC,4,3,2,0,17813,8398,0.5939,640,630,27,55950,21157,877,0.003,0.5443,0.3031,13000,0.5261,0.6837,54388
218973,Wofford College,Spartanburg,SC,3,3,2,0,18878,8860,0.6018,680,673,31,67045,29236,1823,0.004,0.4253,0.154,20500,0.8,0.8862,63465
220181,Fisk University,Nashville,TN,4,3,2,1,8791,5635,0.7097,670,780,25,39142,29632,1009,0.0372,0.5974,0.5274,14250,0.5122,0.7924,50878
220598,Lane College,Jackson,TN,3,3,2,1,9507,5981,NA,NA,NA,NA,23553,13779,1010,0.0707,0.5912,0.8281,16750,0.1259,0.6081,35387
220710,Maryville College,Maryville,TN,3,3,2,0,13535,6617,0.695,550,570,27,52089,21293,977,0.0392,0.681,0.3959,15000,0.4642,0.6642,49016
221351,Rhodes College,Memphis,TN,4,3,2,0,16868,9079,0.5391,730,740,32,66266,26604,1966,0.0068,0.2517,0.1383,19349,0.8225,0.9088,66608
221519,The University of the South,Sewanee,TN,4,3,2,0,23657,9416,0.5232,710,670,32,66480,26357,1599,0.0035,0.3032,0.1507,17750,0.7427,0.8882,57680
222983,Austin College,Sherman,TX,4,3,2,0,15036,7984,0.5437,690,680,30,57746,22764,1166,0.0066,0.5166,0.3113,17500,0.6725,0.8445,56983
228343,Southwestern University,Georgetown,TX,3,3,2,0,18839,8540,0.4479,685,670,30,61668,29104,1480,0.0266,0.4673,0.2473,19500,0.6421,0.7938,56682
229267,Trinity University,San Antonio,TX,4,3,2,0,18808,11172,0.3051,730,740,33,63684,23567,2491,0.0091,0.2921,0.1602,19500,0.6712,0.9109,71432
230816,Bennington College,Bennington,VT,4,3,2,0,25511,9819,0.4531,700,670,33,80648,29787,733,0.0558,0.4939,0.2259,19250,0.6308,0.8382,34772
230959,Middlebury College,Middlebury,VT,4,3,2,0,46183,13224,0.1269,760,780,35,78820,25185,2751,0.0028,0.2147,0.1498,11522,0.856,0.9544,77212
231059,Saint Michael's College,Colchester,VT,4,3,2,0,20839,8646,0.8515,678,637,30,65051,25392,1200,0.0176,0.5435,0.1958,21500,0.7118,0.7911,56162
231581,Bridgewater College,Bridgewater,VA,4,3,2,0,10503,7196,0.9036,630,600,28,53800,18897,1379,0.0091,0.6466,0.3065,17500,0.5183,0.7538,50477
232256,Hampden-Sydney College,Hampden-Sydney,VA,3,3,2,0,14728,8732,0.3979,650,660,29,66868,25214,846,0.0035,0.4982,0.1998,19500,0.7314,0.8063,69617
232308,Hollins University,Roanoke,VA,4,3,2,0,8281,7218,0.724,690,608,30,56698,22078,689,0.0295,0.6143,0.3619,22925,0.5848,0.684,40175
232681,University of Mary Washington,Fredericksburg,VA,4,3,1,0,5886,9093,0.8579,690,650,30,29268,NA,3443,0.106,0.335,0.2045,16250,0.5925,0.8347,58080
233295,Randolph-Macon College,Ashland,VA,3,3,2,0,18095,8562,0.8545,630,590,27,59197,27462,1476,0.01,0.6007,0.1913,22500,0.6793,0.8134,57369
233301,Randolph College,Lynchburg,VA,4,3,2,0,12760,8249,0.9501,570,570,30,42574,22428,461,0.0207,0.6442,0.3958,17455,0.4599,0.6715,47139
233374,University of Richmond,University of Richmond,VA,4,3,2,0,30923,12946,0.2437,750,780,34,74354,28649,3069,0.0347,0.3318,0.1879,19000,0.8331,0.9151,79784
233426,Roanoke College,Salem,VA,3,3,2,0,16163,7619,0.7976,650,610,28,65345,27780,1801,0.022,0.6592,0.2571,22313,0.6877,0.7355,57142
233611,Southern Virginia University,Buena Vista,VA,3,3,2,0,12302,6313,0.9945,620,630,24,31394,21145,1053,0.1624,0.5014,0.4995,14250,0.2794,0.6694,45312
233718,Sweet Briar College,Sweet Briar,VA,4,3,2,0,9567,7218,0.7575,680,680,30,40846,27635,451,0.031,0.4956,0.3451,21000,0.597,0.6215,50944
233897,University of Virginia's College at Wise,Wise,VA,3,3,1,0,6056,8346,0.7557,600,560,25,23546,NA,993,0.3903,0.4101,0.5899,10695,0.2351,0.6972,46382
234085,Virginia Military Institute,Lexington,VA,3,3,1,0,15449,7966,0.7106,660,640,29,33182,NA,1512,6e-4,0.5787,0.15310000000000001,19000,0.6454,0.8169,79378
234164,Virginia Union University,Richmond,VA,4,3,2,1,12708,5250,0.8055,510,480,NA,29361,22242,1297,0.1496,0.7709,0.6088,22500,0.2609,0.5361,45004
234173,Virginia Wesleyan University,Virginia Beach,VA,4,3,2,0,13273,8648,0.8143,695,670,29,50638,22807,1154,0.108,0.6303,0.3462,14000,0.3716,0.6862,48912
234207,Washington and Lee University,Lexington,VA,4,3,2,0,31792,13626,0.1696,753,780,34,80300,29479,1861,0.0011,0.1481,0.1039,16617,0.9267,0.9752,94782
236328,University of Puget Sound,Tacoma,WA,4,3,2,0,27683,10691,0.8266,700,690,32,73002,37164,1712,0.0198,0.4282,0.1779,19250,0.6958,0.7873,58376
237057,Whitman College,Walla Walla,WA,3,3,2,0,28708,9980,0.477,740,733,33,71982,35627,1472,0.0173,0.3795,0.1391,12000,0.8346,0.8826,58399
237181,Bethany College,Bethany,WV,3,3,2,0,6761,6081,0.6492,NA,NA,NA,47610,12855,594,NA,0.7005,0.4046,23750,0.2927,0.747,48767
238333,Beloit College,Beloit,WI,3,3,2,0,12237,7536,0.6586,690,670,31,66936,19672,921,0.0129,0.6015,0.3232,22773,0.6518,0.8241,45599
